fund_type,fund_code,fund_description,department_number,department_description,appropriation_authority,appropriation_authority_description,appropriation_account,appropriation_account_description,appropration,revised_appropriation,recommendation
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,5,SALARIES AND WAGES - ON PAYROLL,5550657,5550657,5965114
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,126,OFFICE CONVENIENCES,1000,1000,1000
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,130,POSTAGE,5019,5019,5693
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,150,PUBLICATN & REPRODT-OUT,1000,1000,1000
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,157,RENTAL EQUIPMENT AND SERVICES,49500,49500,42500
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,159,LEASE/PURCHASE EQUIPMENT,63500,63500,58188
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,162,REPAIR/MAINT EQUIPMENT,6984,6984,6984
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,166,DUES  SUBSC & MEM,18500,18500,18500
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,169,TECHNICAL MEETING COSTS,5286,5286,5286
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,181,MOBILE COMMUNICATION SERVICES,37700,37700,42900
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,190,TELEPHONE - NON-CENTREX BILLINGS,49700,49700,48000
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,196,DATA CIRCUITS,3000,3000,3000
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,197,TELEPHONE - MAINTENANCE,17670,17670,17670
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,229,TRANSPORTATION AND EXPENSE ALLOWANCE,680,680,680
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,245,REIMBURSEMENT TO TRAVELERS,23280,23280,23280
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,270,LOCAL TRANSPORTATION,872,872,872
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,350,STATIONERY AND OFFICE SUPPLIES,40000,40000,36000
LOCAL,0355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,5,SALARIES AND WAGES - ON PAYROLL,541254,541254,550686
