fund_type,fund_code,fund_description,department_number,department_description,appropriation_authority,appropriation_authority_description,appropriation_account,appropriation_account_description,appropriation_ordinance
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,157,RENTAL EQUIPMENT AND SERVICES,15000
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,169,TECHNICAL MEETING COSTS,1000
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,181,MOBILE COMM SERVICES,7500
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,190,TELEPHONE-CENTREX,20000
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,197,TELEPHONE-MAINTENANCE,4000
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,245,REIMBURSEMENT TRAVELERS,500
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,270,LOCAL TRANSPORTATION,1000
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,348,BOOKS AND RELATED MTL,650
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,350,STATIONERY AND OFFICE SUPPL,5400
Local,100,CORPORATE FUND,6,DOIT,2005,DOIT,5,SALARIES AND WAGES - ON PAYROLL,7174047
Local,100,CORPORATE FUND,6,DOIT,2005,DOIT,15,SCHEDULE SALARY ADJ,8542
Local,100,CORPORATE FUND,6,DOIT,2005,DOIT,130,POSTAGE,2000
Local,100,CORPORATE FUND,6,DOIT,2005,DOIT,138,PROF SERV-IT MAINT,6431518
Local,100,CORPORATE FUND,6,DOIT,2005,DOIT,149,SOFTWARE MAINT/LICENSING,6313518
Local,100,CORPORATE FUND,6,DOIT,2005,DOIT,162,REPAIR/MAINT EQUIPMENT,392500
Local,100,CORPORATE FUND,6,DOIT,2005,DOIT,166,DUES  SUBSC & MEM,29500
Local,100,CORPORATE FUND,6,DOIT,2005,DOIT,169,TECHNICAL MEETING COSTS,36600
Local,100,CORPORATE FUND,6,DOIT,2005,DOIT,181,MOBILE COMM SERVICES,1718660
Local,100,CORPORATE FUND,6,DOIT,2005,DOIT,186,PAGERS,8700
Local,100,CORPORATE FUND,6,DOIT,2005,DOIT,190,TELEPHONE-CENTREX,215000
Local,100,CORPORATE FUND,6,DOIT,2005,DOIT,196,DATA CIRCUITS,960320
Local,100,CORPORATE FUND,6,DOIT,2005,DOIT,197,TELEPHONE-MAINTENANCE,18000
Local,100,CORPORATE FUND,6,DOIT,2005,DOIT,245,REIMBURSEMENT TRAVELERS,3500
Local,100,CORPORATE FUND,6,DOIT,2005,DOIT,270,LOCAL TRANSPORTATION,2500
Local,100,CORPORATE FUND,6,DOIT,2005,DOIT,340,MATERIAL AND SUPPLIES,17300
Local,100,CORPORATE FUND,6,DOIT,2005,DOIT,348,BOOKS AND RELATED MTL,3000
Local,100,CORPORATE FUND,6,DOIT,2005,DOIT,350,STATIONERY AND OFFICE SUPPL,7500
Local,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,5,SALARIES AND WAGES - ON PAYROLL,6295022
Local,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,17,CITY COUNCIL-SALARY INC,8824000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,39,STUDENT AS TRAINEES,140000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,181,MOBILE COMM SERVICES,1400
Local,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,190,TELEPHONE-CENTREX,68000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,197,TELEPHONE-MAINTENANCE,6000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,245,REIMBURSEMENT TRAVELERS,6000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,700,CONTINGENCIES,43000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,982,EXP FOR HEROSIM,1000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,9001,TEXT FILE - EXTRA LONG,1326000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,9008,TEXT FILE - EXTRA LONG,3664000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,9010,TEXT FILE - EXTRA LONG,92072
Local,100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,9072,TEXT FILE - EXTRA LONG,4000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,5,SALARIES AND WAGES - ON PAYROLL,1720868
Local,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,130,POSTAGE,16000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,140,PROF & TECHNICAL SERVICES,12500
Local,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,143,COURT REPORTING,20000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,157,RENTAL EQUIPMENT AND SERVICES,65000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,166,DUES  SUBSC & MEM,2000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,169,TECHNICAL MEETING COSTS,2500
Local,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,190,TELEPHONE-CENTREX,19000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,197,TELEPHONE-MAINTENANCE,3000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,229,TRAN/EXP ALLOWANCE,8000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,340,MATERIAL AND SUPPLIES,3500
Local,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,348,BOOKS AND RELATED MTL,3000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,350,STATIONERY AND OFFICE SUPPL,45000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,700,CONTINGENCIES,100
Local,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,9005,LEGAL FEES COMT FINANCE,50000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,9006,LEGAL ASSISTANCE FINANC,50000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,9010,TEXT FILE - EXTRA LONG,92500
Local,100,CORPORATE FUND,15,CITY COUNCIL,2015,LEGISLATIVE INSPECTOR GENERAL,140,PROF & TECHNICAL SERVICES,354000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2214,COMMITTEE ON BUDGET/GOVNTL OPS,0,PERSONNEL SERVICES,468750
Local,100,CORPORATE FUND,15,CITY COUNCIL,2214,COMMITTEE ON BUDGET/GOVNTL OPS,100,CONTRACTUAL SERVICES,15000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2214,COMMITTEE ON BUDGET/GOVNTL OPS,300,COMMODITIES AND MATERIALS,12000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2214,COMMITTEE ON BUDGET/GOVNTL OPS,400,EQUIPMENT,9500
Local,100,CORPORATE FUND,15,CITY COUNCIL,2214,COMMITTEE ON BUDGET/GOVNTL OPS,700,CONTINGENCIES,15000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2220,COMMITTEE ON AVIATION,0,PERSONNEL SERVICES,102843
Local,100,CORPORATE FUND,15,CITY COUNCIL,2220,COMMITTEE ON AVIATION,100,CONTRACTUAL SERVICES,200
Local,100,CORPORATE FUND,15,CITY COUNCIL,2220,COMMITTEE ON AVIATION,300,COMMODITIES AND MATERIALS,500
Local,100,CORPORATE FUND,15,CITY COUNCIL,2220,COMMITTEE ON AVIATION,700,CONTINGENCIES,750
Local,100,CORPORATE FUND,15,CITY COUNCIL,2225,COMMITTEE ON LICENSES,0,PERSONNEL SERVICES,102081
Local,100,CORPORATE FUND,15,CITY COUNCIL,2225,COMMITTEE ON LICENSES,100,CONTRACTUAL SERVICES,17500
Local,100,CORPORATE FUND,15,CITY COUNCIL,2225,COMMITTEE ON LICENSES,300,COMMODITIES AND MATERIALS,500
Local,100,CORPORATE FUND,15,CITY COUNCIL,2235,COMMITTEE ON PUBLIC SAFETY,0,PERSONNEL SERVICES,119289
Local,100,CORPORATE FUND,15,CITY COUNCIL,2235,COMMITTEE ON PUBLIC SAFETY,100,CONTRACTUAL SERVICES,1000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2235,COMMITTEE ON PUBLIC SAFETY,300,COMMODITIES AND MATERIALS,1000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2235,COMMITTEE ON PUBLIC SAFETY,700,CONTINGENCIES,500
Local,100,CORPORATE FUND,15,CITY COUNCIL,2240,COMM ON HEALTH AND ENVIRONMENT,0,PERSONNEL SERVICES,87670
Local,100,CORPORATE FUND,15,CITY COUNCIL,2240,COMM ON HEALTH AND ENVIRONMENT,100,CONTRACTUAL SERVICES,200
Local,100,CORPORATE FUND,15,CITY COUNCIL,2240,COMM ON HEALTH AND ENVIRONMENT,300,COMMODITIES AND MATERIALS,800
Local,100,CORPORATE FUND,15,CITY COUNCIL,2240,COMM ON HEALTH AND ENVIRONMENT,700,CONTINGENCIES,500
Local,100,CORPORATE FUND,15,CITY COUNCIL,2245,COMMITTEE ON COMMT RULES ETHIC,0,PERSONNEL SERVICES,169960
Local,100,CORPORATE FUND,15,CITY COUNCIL,2245,COMMITTEE ON COMMT RULES ETHIC,100,CONTRACTUAL SERVICES,2000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2245,COMMITTEE ON COMMT RULES ETHIC,300,COMMODITIES AND MATERIALS,500
Local,100,CORPORATE FUND,15,CITY COUNCIL,2255,COMM ON ECONOMIC/CAPITAL/TECH,0,PERSONNEL SERVICES,107635
Local,100,CORPORATE FUND,15,CITY COUNCIL,2255,COMM ON ECONOMIC/CAPITAL/TECH,100,CONTRACTUAL SERVICES,1000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2255,COMM ON ECONOMIC/CAPITAL/TECH,300,COMMODITIES AND MATERIALS,500
Local,100,CORPORATE FUND,15,CITY COUNCIL,2255,COMM ON ECONOMIC/CAPITAL/TECH,700,CONTINGENCIES,1000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2260,COMMITTEE ON EDUCATION & CHILD,0,PERSONNEL SERVICES,200609
Local,100,CORPORATE FUND,15,CITY COUNCIL,2260,COMMITTEE ON EDUCATION & CHILD,100,CONTRACTUAL SERVICES,3000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2260,COMMITTEE ON EDUCATION & CHILD,700,CONTINGENCIES,2000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2275,COMM ON ZONING/LANDMARK/BUILD,0,PERSONNEL SERVICES,305134
Local,100,CORPORATE FUND,15,CITY COUNCIL,2275,COMM ON ZONING/LANDMARK/BUILD,100,CONTRACTUAL SERVICES,5300
Local,100,CORPORATE FUND,15,CITY COUNCIL,2275,COMM ON ZONING/LANDMARK/BUILD,300,COMMODITIES AND MATERIALS,74700
Local,100,CORPORATE FUND,15,CITY COUNCIL,2280,COMMITTEE ON HOUSING AND RE,0,PERSONNEL SERVICES,192406
Local,100,CORPORATE FUND,15,CITY COUNCIL,2280,COMMITTEE ON HOUSING AND RE,100,CONTRACTUAL SERVICES,1550
Local,100,CORPORATE FUND,15,CITY COUNCIL,2280,COMMITTEE ON HOUSING AND RE,300,COMMODITIES AND MATERIALS,400
Local,100,CORPORATE FUND,15,CITY COUNCIL,2280,COMMITTEE ON HOUSING AND RE,700,CONTINGENCIES,2150
Local,100,CORPORATE FUND,15,CITY COUNCIL,2286,COMMITTEE ON HUMAN RELATIONS,0,PERSONNEL SERVICES,88098
Local,100,CORPORATE FUND,15,CITY COUNCIL,2286,COMMITTEE ON HUMAN RELATIONS,300,COMMODITIES AND MATERIALS,1000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2290,COMMITTEE ON WORKFORCE DEV,0,PERSONNEL SERVICES,479312
Local,100,CORPORATE FUND,15,CITY COUNCIL,2290,COMMITTEE ON WORKFORCE DEV,100,CONTRACTUAL SERVICES,30000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2290,COMMITTEE ON WORKFORCE DEV,300,COMMODITIES AND MATERIALS,5000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2295,CITY COUNCIL LEG REFERENCE BUR,0,PERSONNEL SERVICES,337081
Local,100,CORPORATE FUND,15,CITY COUNCIL,2295,CITY COUNCIL LEG REFERENCE BUR,100,CONTRACTUAL SERVICES,12000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2295,CITY COUNCIL LEG REFERENCE BUR,300,COMMODITIES AND MATERIALS,4000
Local,100,CORPORATE FUND,25,CITY CLERK,2005,CITY CLERK,5,SALARIES AND WAGES - ON PAYROLL,2363800
Local,100,CORPORATE FUND,25,CITY CLERK,2005,CITY CLERK,15,SCHEDULE SALARY ADJ,7678
Local,100,CORPORATE FUND,25,CITY CLERK,2005,CITY CLERK,20,OVERTIME,72000
Local,100,CORPORATE FUND,25,CITY CLERK,2005,CITY CLERK,130,POSTAGE,5000
Local,100,CORPORATE FUND,25,CITY CLERK,2005,CITY CLERK,140,PROF & TECHNICAL SERVICES,104160
Local,100,CORPORATE FUND,25,CITY CLERK,2005,CITY CLERK,150,PUBLICATN & REPRODT-OUT,12738
Local,100,CORPORATE FUND,25,CITY CLERK,2005,CITY CLERK,152,ADVERTISING,31450
Local,100,CORPORATE FUND,25,CITY CLERK,2005,CITY CLERK,159,LEASE PURCHASE AGREEMNT,229296
Local,100,CORPORATE FUND,25,CITY CLERK,2005,CITY CLERK,162,REPAIR/MAINT EQUIPMENT,10610
Local,100,CORPORATE FUND,25,CITY CLERK,2005,CITY CLERK,190,TELEPHONE-CENTREX,32000
Local,100,CORPORATE FUND,25,CITY CLERK,2005,CITY CLERK,197,TELEPHONE-MAINTENANCE,5000
Local,100,CORPORATE FUND,25,CITY CLERK,2005,CITY CLERK,350,STATIONERY AND OFFICE SUPPL,59310
Local,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,5,SALARIES AND WAGES - ON PAYROLL,3034659
Local,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,11,CONTRACT WAGE-SALARY,91510
Local,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,15,SCHEDULE SALARY ADJ,7825
Local,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,20,OVERTIME,4700
Local,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,130,POSTAGE,7748
Local,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,140,PROF & TECHNICAL SERVICES,64668
Local,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,149,SOFTWARE MAINT/LICENSING,18800
Local,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,150,PUBLICATN & REPRODT-OUT,1250
Local,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,157,RENTAL EQUIPMENT AND SERVICES,33412
Local,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,162,REPAIR/MAINT EQUIPMENT,4051
Local,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,166,DUES  SUBSC & MEM,7400
Local,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,169,TECHNICAL MEETING COSTS,570
Local,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,181,MOBILE COMM SERVICES,5300
Local,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,190,TELEPHONE-CENTREX,112000
Local,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,196,DATA CIRCUITS,7200
Local,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,197,TELEPHONE-MAINTENANCE,39000
Local,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,245,REIMBURSEMENT TRAVELERS,1200
Local,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,270,LOCAL TRANSPORTATION,600
Local,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,348,BOOKS AND RELATED MTL,4300
Local,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,350,STATIONERY AND OFFICE SUPPL,22700
Local,100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,5,SALARIES AND WAGES - ON PAYROLL,3196346
Local,100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,15,SCHEDULE SALARY ADJ,21969
Local,100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,20,OVERTIME,10000
Local,100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,130,POSTAGE,16700
Local,100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,140,PROF & TECHNICAL SERVICES,80100
Local,100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,142,ACCOUNTING AND AUDITING,603863
Local,100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,150,PUBLICATN & REPRODT-OUT,14561
Local,100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,157,RENTAL EQUIPMENT AND SERVICES,13396
Local,100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,162,REPAIR/MAINT EQUIPMENT,1050
Local,100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,166,DUES  SUBSC & MEM,1800
Local,100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,169,TECHNICAL MEETING COSTS,52924
Local,100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,190,TELEPHONE-CENTREX,15000
Local,100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,197,TELEPHONE-MAINTENANCE,2500
Local,100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,245,REIMBURSEMENT TRAVELERS,3000
Local,100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,270,LOCAL TRANSPORTATION,825
Local,100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,348,BOOKS AND RELATED MTL,600
Local,100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,350,STATIONERY AND OFFICE SUPPL,20000
Local,100,CORPORATE FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,5,SALARIES AND WAGES - ON PAYROLL,5435888
Local,100,CORPORATE FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,15,SCHEDULE SALARY ADJ,24551
Local,100,CORPORATE FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,39,STUDENT AS TRAINEES,40000
Local,100,CORPORATE FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,130,POSTAGE,302860
Local,100,CORPORATE FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,138,PROF SERV-IT MAINT,155000
Local,100,CORPORATE FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,140,PROF & TECHNICAL SERVICES,3506984
Local,100,CORPORATE FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,149,SOFTWARE MAINT/LICENSING,344800
Local,100,CORPORATE FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,150,PUBLICATN & REPRODT-OUT,302181
Local,100,CORPORATE FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,152,ADVERTISING,7800
Local,100,CORPORATE FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,157,RENTAL EQUIPMENT AND SERVICES,25000
Local,100,CORPORATE FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,162,REPAIR/MAINT EQUIPMENT,55796
Local,100,CORPORATE FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,166,DUES  SUBSC & MEM,5442
Local,100,CORPORATE FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,169,TECHNICAL MEETING COSTS,9885
Local,100,CORPORATE FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,197,TELEPHONE-MAINTENANCE,21000
